BANYULE : ['Abbotsford', 'Airport West', 'Albert Park', 'Alphington']
CAMPASPE : ['Taylors Hill', 'Taylors Lakes', 'The Basin', 'Thomastown']
CENTRAL GOLDFIELDS : ['Truganina', 'Tullamarine', 'Vermont', 'Wantirna']
LODDON : ['Wantirna South', 'Werribee', 'Westmeadows', 'Williams Landing']
GREATER GEELONG : ['Wollert', 'Wyndham Vale', 'Black Rock', 'Blackburn']
QUEENSCLIFFE : ['Blackburn North', 'Bonbeach', 'Carrum', 'Chelsea']
HINDMARSH : ['Clayton', 'Doveton', 'Ferntree Gully', 'Glen Waverley']
HORSHAM : ['Greenvale', 'Heathmont', 'Hoppers Crossing', 'McKinnon']
WEST WIMMERA : ['Melton South', 'Melton West', 'Mentone', 'Mooroolbark']
MACEDON RANGES : ['Mulgrave', 'Ringwood', 'Roxburgh Park', 'Seabrook']
MOUNT ALEXANDER : ['Templestowe', 'Vermont South', 'Warrandyte', 'Watsonia North']
MILDURA : ['Wheelers Hill', 'Altona Meadows', 'Blackburn South', 'Carrum Downs']
GOLDEN PLAINS : ['Clayton South', 'Croydon North', 'Langwarrin', 'Noble Park']
HEPBURN : ['Notting Hill', 'Ringwood North', 'Sydenham', 'Albanvale']
MOORABOOL : ['Beaconsfield Upper', 'Chelsea Heights', 'Dallas', 'Deer Park']
ARARAT : ['Eltham North', 'Keilor', 'Meadow Heights', 'Mount Evelyn']
NORTHERN GRAMPIANS : ['North Warrandyte', 'Pakenham', 'Riddells Creek', 'Sandhurst']
YARRIAMBIACK : ['Scoresby', 'Silvan', 'Aspendale', 'Chirnside Park']
GLENELG : ['Croydon Hills', 'Croydon South', 'Derrimut', 'Diggers Rest']
SOUTHERN GRAMPIANS : ['Edithvale', 'Hampton Park', 'Knoxfield', 'St Helena']
COLAC-OTWAY : ['Upwey', 'Bacchus Marsh', 'Coolaroo', 'Cranbourne North']
SURF COAST : ['Kilsyth', 'Montrose', 'Aspendale Gardens', 'Bullengarook']
BULOKE : ['Clarinda', 'Deepdene', 'Delahey', 'Hurstbridge']
GANNAWARRA : ['Kurunjang', 'Wonga Park', 'Endeavour Hills', 'Officer']
SWAN HILL : ['Waterways', 'Ardeer', 'Beaconsfield', 'Springvale South']
CORANGAMITE : ['Yarra Glen', 'Brookfield', 'Emerald', 'Whittlesea']
MOYNE : ['Burnside', 'Attwood', 'Wallan', 'New Gisborne']
WARRNAMBOOL : ['Plumpton', 'Monbulk']
