ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID972149171,7 Alfred Pl,3,h,1200000.0,8/07/2017,2.0,0.0,159.0,49.0,-37.85843,144.89976000000001
ID495165769,7/5 Alfriston St,2,u,680000.0,27/11/2016,1.0,1.0,0.0,59.0,-37.8753,144.9902
ID599320965,115 Derby St,4,h,800000.0,8/04/2017,1.0,1.0,593.0,49.0,-37.7278,144.9463
ID943202197,1/54 Liddiard St,1,u,440000.0,6/05/2017,1.0,1.0,0.0,59.0,-37.8194,145.0397
ID534501260,3 Hampshire Rd,4,h,1120000.0,17/06/2017,2.0,2.0,280.0,11.0,-37.79423,145.13696000000004
ID651337636,2/71 Roslyn St,4,t,1630000.0,25/02/2017,2.0,2.0,432.0,19.0,-37.9228,145.0022
ID252109388,22 Cavanagh St,4,h,1740000.0,29/07/2017,2.0,2.0,721.0,9.0,-37.9641,145.06547
ID728000459,53 Mary St,3,h,1410000.0,26/07/2016,2.0,1.0,442.0,27.0,-37.8046,145.0382
ID399219140,370 McKinnon Rd,2,h,1630000.0,25/02/2017,1.0,2.0,724.0,69.0,-37.9135,145.0557
ID912894273,2 Michael Ct,3,t,840000.0,15/10/2016,2.0,2.0,374.0,29.0,-37.7445,144.8834
ID469613433,2/21 Lillimur Rd,1,u,454000.0,1/07/2017,1.0,1.0,1006.0,9.0,-37.90164,145.04138999999995
ID757523106,9/56 Leicester St,2,t,710000.0,27/06/2016,1.0,1.0,0.0,17.0,-37.7953,144.9775
ID837676687,3 Oshannassy St,3,h,1580000.0,4/06/2016,2.0,2.0,758.0,44.0,-37.7401,144.9013
ID541100817,42 Studley Ct,4,h,1460000.0,18/06/2016,2.0,2.0,840.0,49.0,-37.78,145.1145
ID199562653,2/16 Beaver St,3,t,1370000.0,22/08/2016,2.0,2.0,323.0,49.0,-37.8704,145.0411
ID803185065,35 Athol St,3,h,1425000.0,22/05/2016,1.0,1.0,526.0,119.0,-37.7701,144.9172
ID756469973,19 Belson St,4,h,2800000.0,12/11/2016,2.0,3.0,809.0,94.0,-37.8664,145.0452
ID725612941,62 Butler St,2,h,860000.0,20/05/2017,1.0,0.0,111.0,119.0,-37.8108,144.9955
ID190906802,6 Parkside Av,2,h,1820000.0,3/09/2017,1.0,2.0,701.0,79.0,-37.82756,145.11897
ID395072397,10 The Loop,4,h,880000.0,22/04/2017,3.0,2.0,530.0,59.0,-37.7058,144.9431
ID650639268,6/137 Hickford St,3,t,530000.0,8/10/2016,2.0,1.0,229.0,11.0,-37.7036,145.0145
ID530919419,8/99 Verdon St,1,u,310000.0,7/05/2016,1.0,1.0,0.0,51.0,-37.8588,144.8919
ID458482999,75 Canterbury Rd,3,h,1112000.0,17/06/2017,1.0,3.0,632.0,49.0,-37.831070000000004,145.14343
ID718637370,35 Lindenow St,3,h,876000.0,8/07/2017,1.0,2.0,420.0,2.0,-37.77915,144.88137
ID225251631,16 Bailey Av,4,h,4060000.0,26/08/2017,2.0,1.0,574.0,109.0,-37.86325,145.02421999999999
ID130867206,2/22 Severn St,3,t,1137000.0,19/11/2016,2.0,2.0,349.0,69.0,-37.7955,145.0694
ID176843567,4/43 Clifton Rd,2,u,706000.0,22/08/2016,1.0,1.0,172.0,59.0,-37.8437,145.0536
ID254653124,14 Avon St,3,h,987000.0,10/09/2016,1.0,1.0,603.0,59.0,-37.9404,145.0464
ID297579704,2/32 Wilson Rd,3,u,1000000.0,22/07/2017,2.0,2.0,365.0,23.0,-37.88599,145.17031
ID776088979,8 Agg St,3,h,993000.0,22/05/2016,2.0,2.0,348.0,119.0,-37.8435,144.8788
ID640893424,56 Cecil St,4,h,2350000.0,17/09/2016,2.0,2.0,861.0,36.0,-37.8047,145.0534
ID204423225,10 Yarrabin St,3,h,810000.0,7/11/2016,1.0,2.0,349.0,69.0,-37.7589,144.9368
ID977845072,394 Manningham Rd,3,h,1202000.0,27/11/2016,2.0,2.0,649.0,54.0,-37.7794,145.1224
ID986331180,4/1508 Malvern Rd,2,t,955000.0,29/07/2017,1.0,1.0,197.0,49.0,-37.85448,145.0485
ID588283979,16 Milford St,2,h,760000.0,28/08/2016,1.0,2.0,255.0,89.0,-37.8469,144.8766
ID297949095,29/100 Commercial Rd,3,u,750000.0,4/06/2016,2.0,2.0,0.0,15.0,-37.8453,144.9849
ID903569510,1/10 Scotia St,2,u,675000.0,8/10/2016,1.0,1.0,206.0,104.0,-37.7694,144.9059
ID765549497,85 Waimarie Dr,4,h,1728000.0,17/06/2017,3.0,2.0,720.0,59.0,-37.87833,145.13731
ID292617104,4/5 Gnarwyn Rd,1,u,330000.0,22/04/2017,1.0,1.0,0.0,59.0,-37.8944,145.0616
ID259875284,37 Lewis St,3,h,1770000.0,10/09/2016,2.0,2.0,667.0,69.0,-37.9088,145.0471
ID651755858,139 Victoria St,4,h,1340000.0,24/06/2017,2.0,1.0,302.0,91.0,-37.7845,144.93582
ID794186364,36 Westgate St,3,h,1205000.0,13/05/2017,2.0,1.0,570.0,64.0,-37.9066,145.0869
ID174057767,58 Waverley St,2,h,840000.0,18/03/2017,1.0,1.0,373.0,49.0,-37.7604,144.9062
ID959126401,47 Cooper St,7,h,1350000.0,29/07/2017,3.0,4.0,530.0,99.0,-37.73526,144.99508
ID558010850,4 Pershore Ct,3,h,635000.0,29/07/2017,2.0,1.0,691.0,44.0,-37.68026,144.88468
ID707058048,16 Blenheim Rd,3,h,1176000.0,18/06/2016,1.0,2.0,767.0,59.0,-37.8466,144.8636
ID982554857,132 The Parade,3,h,985000.0,3/09/2017,1.0,1.0,245.0,74.0,-37.77215,144.91144
ID326541072,7 Danthonia St,4,h,850000.0,3/06/2017,2.0,2.0,300.0,39.0,-37.7296,144.97988
ID692823259,111 Derby St,3,h,876000.0,27/05/2017,1.0,2.0,525.0,59.0,-37.72803,144.94624
ID589738327,127 Tucker Rd,4,h,1260000.0,4/03/2017,2.0,2.0,793.0,19.0,-37.9232,145.0502
ID577819778,46 Osborne Rd,5,h,1550000.0,24/06/2017,3.0,4.0,4221.0,39.0,-37.733709999999995,145.24045
ID844843794,19 Denver St,5,h,1275000.0,3/12/2016,2.0,2.0,683.0,59.0,-37.9333,145.0602
ID141146284,1 Sheppard Ct,4,h,810000.0,12/08/2017,2.0,2.0,749.0,30.0,-37.88413,144.79033
ID507318008,22 Bushlark Cr,3,h,555000.0,16/09/2017,2.0,2.0,265.0,5.0,-37.85504,144.73516
ID148737963,2/59 Moonya Rd,3,u,920000.0,17/09/2016,2.0,1.0,283.0,14.0,-37.8974,145.0622
ID771269286,22 Neville St,4,h,1880000.0,26/07/2016,2.0,3.0,932.0,49.0,-37.8975,145.0478
ID680234106,5 Charles St,3,h,1465000.0,4/03/2017,2.0,0.0,134.0,119.0,-37.8093,144.9944
ID767031000,6 Dallas St,3,h,900000.0,12/08/2017,1.0,2.0,585.0,14.0,-37.98137,145.0918
ID461633938,72 Bayswater Rd,3,h,1271000.0,7/05/2016,1.0,1.0,284.0,119.0,-37.7938,144.9228
ID406478036,61 Soudan St,3,h,1157000.0,3/06/2017,1.0,1.0,480.0,89.0,-37.73894,144.95067
ID223224870,10 Dundalk St,3,h,651500.0,8/04/2017,1.0,1.0,555.0,69.0,-37.7988,144.822
ID816777200,22 Avenue Rd,2,h,1175000.0,27/11/2016,1.0,1.0,246.0,59.0,-37.8336,145.0612
ID968391602,50 Newcastle St,2,h,1050000.0,17/06/2017,1.0,1.0,688.0,129.0,-37.74847000000001,145.01193
ID987840029,8a Glengala Rd,3,h,622500.0,24/09/2016,1.0,1.0,534.0,49.0,-37.7887,144.8231
ID771067787,126 Smith St,3,h,1380000.0,28/08/2016,2.0,1.0,359.0,99.0,-37.7565,144.9906
ID600352216,14 Baker St,4,h,760000.0,8/04/2017,1.0,5.0,650.0,69.0,-37.7867,144.8437
ID752943630,1/316 Tucker Rd,2,h,758000.0,4/03/2017,1.0,1.0,250.0,59.0,-37.9063,145.0535
ID225949006,1/569 Camberwell Rd,2,h,950000.0,4/06/2016,1.0,2.0,230.0,25.0,-37.8448,145.0723
ID882835428,4/31 Cooper St,2,u,707000.0,22/04/2017,1.0,1.0,179.0,5.0,-37.7514,144.8966
ID237895635,12 Brookland Ct,4,h,1080000.0,23/09/2017,2.0,2.0,914.0,39.0,-37.93173,145.19475
ID121565906,42 Glenair St,3,h,982000.0,18/06/2016,2.0,2.0,652.0,59.0,-37.7629,145.1157
ID547119478,4 Selby Ct,3,h,857000.0,3/09/2017,2.0,1.0,1007.0,39.0,-37.766529999999996,145.29163
ID195619794,13/27 Patterson Rd,2,u,650000.0,10/12/2016,1.0,1.0,116.0,59.0,-37.9245,145.0336
ID639939112,15 Miles St,3,h,1100000.0,4/06/2016,2.0,2.0,0.0,94.0,-37.922,145.0302
ID799562719,5 Donne St,3,h,1090000.0,12/11/2016,1.0,1.0,464.0,59.0,-37.753,144.9485
ID196759044,1/57 Brooks St,3,h,780000.0,17/09/2016,2.0,2.0,421.0,69.0,-37.9168,145.0809
ID695603164,5/18 Marine Pde,2,u,602000.0,3/12/2016,1.0,0.0,0.0,89.0,-37.8707,144.9765
ID702658265,115 Bignell Rd,2,h,1160000.0,30/07/2016,1.0,2.0,750.0,14.0,-37.9325,145.0694
ID218280940,46 Karma Av,3,h,2030000.0,19/08/2017,2.0,2.0,660.0,79.0,-37.87939,145.0656
ID772261910,421 Rae St,2,h,1283000.0,28/08/2016,1.0,2.0,204.0,39.0,-37.7824,144.9801
ID808297969,6 Alandale St,3,h,1150000.0,17/09/2016,2.0,1.0,247.0,14.0,-37.836,145.1046
ID797223168,44 Daley St,3,h,572000.0,10/12/2016,1.0,2.0,627.0,59.0,-37.6974,144.9326
ID548496471,129 View St,3,h,643000.0,20/05/2017,1.0,2.0,674.0,69.0,-37.6957,144.9231
ID823866120,4/15 Stapley Cr,3,u,451500.0,15/07/2017,1.0,1.0,180.0,54.0,-37.83648,144.86296000000004
ID572706822,39 Kiewa St,3,h,1542000.0,8/04/2017,2.0,2.0,980.0,39.0,-37.7883,145.1387
ID436837013,2/42 Gowrie St,3,h,930000.0,27/11/2016,2.0,2.0,258.0,12.0,-37.9162,145.0799
ID755980195,23 Surrey St,2,h,545000.0,14/05/2016,1.0,3.0,591.0,59.0,-37.7128,144.9471
ID663600484,1d Bute St,3,u,975000.0,7/05/2016,2.0,1.0,277.0,44.0,-37.8936,145.0709
ID597980652,101 The Fairway,4,h,800001.0,3/06/2017,1.0,2.0,467.0,49.0,-37.7126,145.02996000000005
ID995225989,7 Londrew Ct,3,h,540000.0,26/08/2017,1.0,1.0,607.0,49.0,-37.69423,144.88002
ID190901410,6/267 Rossmoyne St,2,u,571750.0,18/06/2016,1.0,1.0,0.0,7.0,-37.7588,145.0179
ID916600157,15 Metcalf Wy,4,h,698000.0,15/07/2017,2.0,2.0,448.0,7.0,-37.8914,144.72014
ID613426655,30 Chapman St,3,h,890000.0,25/02/2017,1.0,1.0,668.0,89.0,-37.7943,144.8319
ID175129506,4/13 Glen Valley Rd,1,h,360000.0,12/08/2017,1.0,1.0,76.0,49.0,-37.832209999999996,145.17117
ID867559721,55 Albion Rd,4,h,1600000.0,16/04/2016,2.0,1.0,692.0,129.0,-37.8247,145.1281
ID522769026,4 Pacific Pl,3,h,760000.0,22/07/2017,3.0,2.0,654.0,8.0,-37.69394000000001,144.7795
ID842019357,1/2 Dubbo St,3,u,675000.0,9/09/2017,1.0,1.0,284.0,2.0,-37.77933,144.81679
ID442550609,5 Kallara Gr,3,t,730000.0,7/11/2016,1.0,2.0,250.0,19.0,-37.7861,144.8897
ID441940831,311/163 Cremorne St,2,u,570000.0,27/05/2017,2.0,1.0,0.0,12.0,-37.83011,144.99043999999995
ID130415347,22 Park Sq,3,h,1630000.0,4/03/2017,2.0,2.0,135.0,22.0,-37.8395,144.9343
ID870756479,71 Hamilton Rd,5,h,1355000.0,23/09/2017,3.0,5.0,44500.0,74.0,-37.453920000000004,144.58864
ID554529351,89 Armstrong St,3,h,3750000.0,27/05/2017,2.0,1.0,411.0,44.0,-37.85327,144.96223
ID296216123,3/87 Thomas St,2,u,890000.0,12/08/2017,1.0,2.0,275.0,49.0,-37.91106,145.02393999999995
ID629166343,2/22 Looker Rd,3,t,820000.0,15/07/2017,2.0,2.0,260.0,9.0,-37.72394,145.12456
ID517082421,1 Oxford Dr,4,h,730000.0,16/09/2017,2.0,2.0,538.0,49.0,-37.7002,145.06517
ID159311499,16 Clematis St,4,h,1790000.0,9/09/2017,2.0,2.0,742.0,49.0,-37.87738,145.18083000000001
ID733799841,58 Horace St,3,h,2325000.0,25/02/2017,2.0,2.0,347.0,129.0,-37.8602,145.0399
ID161359680,96 Avebury Dr,4,h,627500.0,1/07/2017,2.0,2.0,687.0,69.0,-38.02434,145.33117
ID696085630,13 Crawley St,4,h,1015000.0,8/10/2016,1.0,1.0,518.0,99.0,-37.726,145.0044
ID559485907,44 Silver St,3,h,925000.0,12/08/2017,1.0,2.0,1027.0,39.0,-37.71328,145.14098
ID602841380,15 Argyle St,3,h,1394000.0,17/06/2017,2.0,1.0,60.0,69.0,-37.79714,144.97596000000001
ID883958643,3/15 Harold St,3,u,590000.0,29/04/2017,2.0,2.0,0.0,10.0,-37.7074,144.9266
ID122671396,56 Brandon St,3,h,1820000.0,12/11/2016,1.0,3.0,650.0,89.0,-37.8571,145.0766
ID978697836,8 Princes St,3,h,1150000.0,8/04/2017,1.0,0.0,308.0,119.0,-37.8526,144.895
ID789570867,17 Beard St,6,h,855000.0,27/05/2017,3.0,3.0,804.0,39.0,-37.70872,145.16102
ID380983723,4 Matthews Ct,3,h,2820000.0,10/12/2016,2.0,2.0,600.0,52.0,-37.8332,145.0117
ID443496412,50 Collinson St,4,h,820500.0,18/03/2017,2.0,7.0,754.0,28.0,-37.7221,144.8578
ID926163431,17 Gowrie St,4,h,1115000.0,19/08/2017,1.0,2.0,579.0,99.0,-37.915240000000004,145.07686
ID137144442,13 Brisbane St,3,t,1130000.0,23/09/2017,2.0,1.0,231.0,119.0,-37.77373,144.9311
ID552319416,28 Nelson Pl,3,h,2050000.0,6/05/2017,2.0,1.0,230.0,119.0,-37.8373,144.9527
ID645000162,152 Balwyn Rd,3,h,2380000.0,17/06/2017,2.0,2.0,752.0,81.0,-37.80648,145.08274
ID677944088,46 Cobden St,3,h,1390000.0,22/05/2016,2.0,1.0,138.0,21.0,-37.8351,144.9675
ID422022073,60 Northumberland Cct,3,h,500000.0,22/07/2017,2.0,2.0,448.0,11.0,-37.58242,144.93001
ID138664400,58 Scotchmer St,2,h,1345000.0,8/04/2017,1.0,0.0,176.0,139.0,-37.7831,144.9805
ID683916966,92A Brees Rd,3,t,660000.0,27/11/2016,2.0,1.0,265.0,39.0,-37.7444,144.8763
ID550359346,1/37 Yongala St,3,h,1255000.0,4/06/2016,2.0,2.0,308.0,18.0,-37.8056,145.0788
ID871673867,23 Beauford St,3,h,1093800.0,17/06/2017,1.0,2.0,501.0,49.0,-37.90805,145.10683999999995
ID622281366,157 Canning St,3,t,851000.0,3/12/2016,3.0,1.0,557.0,2.0,-37.77,144.8572
ID141722896,1 Gordon Ct,3,h,737000.0,8/10/2016,1.0,4.0,640.0,69.0,-37.6986,144.9243
ID753400784,59 Tambet St,4,t,1160000.0,6/08/2016,2.0,2.0,321.0,13.0,-37.914,145.0714
ID635624156,49 Bent St,3,h,1500000.0,28/05/2016,1.0,1.0,929.0,69.0,-37.8651,144.832
ID956371362,85 Martins La,4,h,920250.0,4/03/2017,2.0,2.0,558.0,49.0,-37.7328,145.0916
ID738596468,8/3 Kooyongkoot Rd,2,u,450000.0,1/07/2017,1.0,1.0,2338.0,79.0,-37.83032,145.03898999999996
ID604932057,3 Hazel Gr,3,h,1465000.0,4/03/2017,1.0,2.0,956.0,11.0,-37.7308,144.9397
ID349919489,48 Murray St,3,h,1130000.0,25/02/2017,1.0,3.0,206.0,74.0,-37.7382,144.9563
ID956037693,48 Bedford St,3,h,872500.0,8/04/2017,1.0,1.0,594.0,69.0,-37.7203,144.8757
ID209904792,6 Alma La,3,h,600000.0,3/06/2017,1.0,3.0,406.0,14.0,-37.72484,144.74296
ID636255143,43 Stawell St,3,h,830000.0,17/06/2017,2.0,2.0,1025.0,49.0,-37.90188,144.65138000000005
ID215663449,36 Howitt Dr,3,h,1065000.0,10/12/2016,1.0,2.0,664.0,49.0,-37.7637,145.1117
ID767580029,172 Maribyrnong Rd,3,h,930000.0,16/07/2016,1.0,1.0,305.0,119.0,-37.7711,144.9122
ID791977278,34 Russell Cr,4,h,820000.0,8/07/2017,2.0,4.0,719.0,44.0,-37.86434000000001,145.25739
ID601650477,3 Lynch St,3,h,715000.0,14/05/2016,1.0,2.0,558.0,94.0,-37.7807,144.8341
ID530312634,45 Browns Rd,3,h,1560000.0,16/04/2016,1.0,2.0,841.0,69.0,-37.9217,145.056
ID241897265,1/3 Steele St,2,u,536000.0,24/09/2016,1.0,1.0,0.0,59.0,-37.8713,145.0515
